,Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
1758,Tracy Baldwin,sarahwilliams@example.net,"great stay nice job, impressed intercontinental, staff excellent helpful, rooms clean modern free wireless albeit bit small, pool nice towels like, beach nice charged 10 umbrella, breakfast buffet rip 20 wanted warm 15 fruit bagels, street diner subway small dingy supermarket burgerking useful quick cheap bite, ruth chris steakhouse terrific right, 19 cab ride old san juan n't cheap n't bus- said 40 minutes took 1.2 hours, casino nice minibar rip expected, people kids looked like having good time,  ",2024-11-24 22:50,Randy Martinez,EMP402,38,(587)556-0600x802,Neutral,HR,29,1,Inactive,$477,2,Vegan,Suite,Table tennis,Sauna,Luxury
1759,Elizabeth Hudson,qcooke@example.net,"nice, aahh westin brand worthy redemption, staying realy westin dumps lately hotel like ray sunlight, nice room nice lobby good restaurant pretty good room service, gripe room needed tending check-in hairs left guest housekeeping came took care asap, housekeeping steps bit think hotel real winner,  ",2024-11-14 06:52,Alexandra Garcia,EMP911,21,(958)322-5794x53042,Positive,Support,6,1,Inactive,$91,6,Vegetarian,Suite,Badminton,Massage,Frugal
1760,Gary Cooper,jason92@example.com,"comfortable stay stayed suites king west early july, personal getaway relaxation, not picky traveler stayed hostels timeshare condos star hotels, really nothing complain hotel, quiet needed, view decent, room exceptionally clean lit, room maybe compact american hotels 2 adults just fine opinion, staff friendly helpful needed, lot convenient extras did n't use, hotel close restaurants subway path, eaton centre 10 15 min walk away, enjoyed stay defnitely return significant, love city toronto,  ",2024-11-06 21:47,Jessica Miller,EMP691,26,(828)262-7880x6147,Positive,Support,16,7,Inactive,$324,7,Vegan,Deluxe,Badminton,Gym,Frugal
1761,Patricia Garcia,timothy87@example.org,"great value stayed hotel enza florence 2 nights, room quite large italy standards, paid 80 euros 72 cash breakfast, hotel free internet lobbythe location quick walk train station accademia, overall hotel n't impressive 72 euros night great deal,  ",2024-08-31 18:10,Carla Hicks,EMP882,43,(686)371-6839,Negative,HR,14,5,Inactive,$460,10,Non-Vegetarian,Suite,Badminton,Massage,Frugal
1762,Michael Hansen,judith05@example.com,"5*+, fabulous, having read good reviews stayed just the1 night using points not disappointed, allocated junior suite not particularly spacious absolutely perfect sense modern lots glass dream bathroom walk shower room big bath plus standard issue westin beds linen, hotel room looked new, ca n't house look like, reception bar staff efficient friendly ambience hotel felt pleasant large open spaces lobby old inner quadrangle serves restaurant, features grand old building preserved steel circular stairway business centre able use free charge including internet station printer, despite billed business district location good tourist location maybe 10 minute walk circular key 5 minutes wynyard train station direct line airport, know folk gripe cost meals drinks laundry course exepnsive know visit westin,  ",2024-06-01 10:16,Jeff Mendez,EMP177,57,652-732-5744x34756,Negative,Sales,8,9,Active,$163,6,Vegetarian,Suite,Table tennis,Massage,Luxury
1763,Jennifer Lamb,evansronald@example.com,"good hotel great location hard bed nice rooms hotel recently remodeled modern updated decor taxi drivers called singapore hotel changed hands recently.booked orbitz 120 night, good location easy walk nightlife shopping times square, 11 bus went stright airport door, offered upgrade business class room 50 usd nights, room large flat screen tv room immaculate good internet access shower service, offered daily laundry service, did not use restaurant looked good believe actually door advertised buffet, not resort hotel great business class hotel great location good customer service good rates rock hard bed consider staying, security lobby attentive desk helpful perfect english skills.when wanchai recommend hotel,  ",2024-03-25 16:43,Craig Sims,EMP678,62,001-297-886-9728x092,Negative,Finance,26,6,Active,$85,3,Vegan,Deluxe,Swimming,Sauna,Frugal
1764,Charles Pearson,xwallace@example.net,"frankly bad frankfurt lovely hotel severe problems, luck temporary definitely not worth inflated rate paying, save big headache contact making reservation finished renovation remodeling, lobby nightmare final day elevators not working making check real hassle housekeeping exceptionally noisy not early riser 7am disturbed, think actually hip impractical design bathrooms frosted glass door bathroom getting slammed tubs make resonant booming sounds.the room interiors pleasant small, look w hotels hope, room pants press ironing board mounted closet closet n't wide actually iron shirt, creepy porter argued iron board brought room order press clothes.room service good, food adequate inconsistent, good barely average,  ",2024-06-29 09:18,Sean Arnold,EMP493,57,001-650-837-1916x221,Positive,Sales,5,5,Active,$224,8,Vegetarian,Standard,Badminton,Gym,Luxury
1765,Heather Dillon,liujames@example.net,"high quality fantastic value hotel greatest travel bargins bali.the hotel set beautiful paddy fields totally peaceful easy walking ubud attractions dont want walk free ubud transport included room rate 24hrs day rooms clean comfortable air-con fantastic views cheap mini-bar local wine abottle free room sevice meals tea making facilities wonderful balconies/patios hotel lovley pool small gym massage pavillion hour, best kindest helpful staff come accross.we duplex room garden jacuzi great wooden room new rooms looked equally good, paid 7 nights including cooked breakfast served balcony.this price included airport transferswe addition,21/2 days hotel car plus driver lots extra meals washing mini-bar came fantastic hotel expierience compares hotels charging night.if going ubud try book,  ",2024-01-22 13:20,Benjamin Mason,EMP814,33,001-272-376-7452x3911,Positive,Support,9,1,Active,$428,1,Vegetarian,Deluxe,Golf,Massage,Luxury
1766,Brian Cole,georgechan@example.org,"great resort, stayed sirenis tropical april 13 great week sun great food lots activities, arrived sunday morning 11, rooms not ready 2 pm, not problem watched luggage headed beach pool bar begin fun, rooms tropical spacious kept, maids did great job room day issue, breakfast buffet good lots variety morning coffee great, staff buffets freindly available assist, dominican people friendliess funniest people meet, pool beautiful swim bars popular, bartenders friendly drinks awesome, beach beach hut area nice beach barbecue bar area don`t far food drinks beach, activties day blast entertainment crew worked hard make sure involved, chico rico james bond spahgetti especially friendly, entertainment crew worked day beach performed nightly shows great, la carte restuarants good ranking 1-4 italian chinese steakhouse mexican, shopped souvenirs sides resort barter good price shopping plaza 5 minutes away 5.00 taxi resort better, wife went couple completely enjoyed stay sirenis looking forward returning,  ",2024-02-09 16:48,Christina Watkins,EMP572,54,818.298.5916x839,Neutral,HR,20,5,Inactive,$458,9,Vegetarian,Standard,Badminton,Massage,Frugal
1767,Andrew Mitchell,livingstonanthony@example.net,"recommend royal having recently stayed royal hotel barcelona, happily recommend, location excellent right ramblas, staff freindly helpful, n't opted deal including breakfast did choose breakfast hotel choice food freshness excellent worth 13 euros, n't opted room ramblas view 15 euros definitely worth extra, definitely recommend royal stay reaaly enjoyed barcelona, time opt room upgrade whilst room clean comfortable dark,  ",2024-07-26 04:32,Stacy James,EMP588,54,001-652-716-5923x47183,Positive,HR,20,1,Inactive,$456,5,Vegetarian,Suite,Table tennis,Massage,Luxury
1768,Kristina Ford,kevinhopkins@example.com,"check early, decided wife just days coming paris spend 1 night hotel directly called book room, looking hotel website speaking phone member staff.unfortunately expected double bedroom left cheapest, looked nice website room apparently facing luxembourg park consequence main street rue vaugirard, feeling slightly hesitant phone attendant kindly assured room 4th floor not noisy, decided it.on d-day saturday arrived wife 5.30pm hotel, big surprise room offered floor apparently left, room fyi number 16 quite tiny noisy heavy traffic main street feel people walking sidewalks room 1st floor windows, condition room mainly ok looking closely furniture small details showing bit worn, overall far reflecting price asked not room initially booked told attendant not spoke phone days specifically booked phone bedroom 4th floor, attendant did not notes requirement booking schedule, admitted room 4th floor taken people arrived earlier day, surprising room management 4-star hotel n't think seeing disappointed ended understanding attendant decided gesture reduce rate 20, wife refused offer thought cheaper rate not help forget sleepless night noisy room speak experience 10mn checking left room told attendant finally did not want stay, explained clearly mistake staff not given room somebody people arrived, reluctantly agreed not charge night obviously given credit card phone.we finally went hotel stayed mercure accor group, exactly price executive room quiet twice size room luxembourg parc fantastic breakfast included.anyway recap make sure afford book room not facing street specific requirements booking make sure staff account just case n't check late afternoon,  ",2024-07-25 11:14,Joshua Nelson,EMP785,21,(329)479-4975x517,Neutral,Finance,20,6,Active,$354,10,Vegetarian,Suite,Badminton,Gym,Frugal
1769,Timothy Travis,hernandezmargaret@example.org,"hotel gem location owners staff cleanliness ambience selected hotel based tripadvisor reviews selected seven hotels booked just finest little gem hotel, room huge big king size bed twin beds husband storage bed, big armoire huge windows generous bathroom sparking clean, owners mother son wonderful handsome helpful desk person convinced purpose ensure enjoyment beautiful city, close hotel casci drawer second,  ",2024-08-16 06:27,Wesley Wells,EMP051,28,(544)769-2840x09380,Negative,Support,20,1,Active,$449,5,Non-Vegetarian,Suite,Swimming,Gym,Frugal
1770,Aaron Williams,leejames@example.org,"uno dos tres aplauso, just got march 28th spending 2 weeks hubby 2 kids 9 yr old girl 8 yr old boy excellent, going vip route good idea solves waiting line restaurant reservation stuff phone stop vip concierge desk close pool, nice not run beach towels use bathrobes hour free internet week adult free 20 minute massage week adult snorkling, thought nice upgrade, week plan excursions massages soon arrival, not make reservations restaurants 48 hrs advance n't delay meal wil hispaniola main building buffet n't reservations good, try breakfast chopin sleep grab croissant fresh fruit trapiche building beach, coffee excellent, evenings meal main bar room licey restaurant went vip turn eat animation staff great lot kids busy sun peek sunshine hours especially days bella kids club sweet heart kids love eye candy mom interested evening entertainment great mini disco games kids mom dad drink main lobby watch distance lots stuff happening day pool area beach teenagers adults busy laughing 10 o-clock shows feature good dancers dad interested going excursion try bavaro runner bring bathing suit towel swim pool lunch finish day beach, kids loved enjoyed, good way learning dominicans actuallly live definitely going, true lot staff not fluent english try hard language not really issue, like treat people respect treat,  ",2024-04-29 22:47,Alyssa Le,EMP543,47,(233)400-5031,Neutral,Support,13,1,Inactive,$253,7,Non-Vegetarian,Suite,Badminton,Gym,Frugal
1771,Jennifer Santiago,carolynjuarez@example.org,"loved, hotel good balance price quality, actually pretty cheap, rooms staff breakfast highly professional, u-bahn not far hackescher markt just block away.if berlin not doubt hotel-choice,  ",2024-06-23 05:34,Eric Cruz,EMP822,54,(938)234-9456,Neutral,Engineering,9,8,Inactive,$99,4,Non-Vegetarian,Suite,Table tennis,Gym,Frugal
1772,Michael Anderson,walterpeterson@example.net,"great location jr. suite great, clean comfortable, close pike market town walking distance, breakfast nice fresh, stay,  ",2024-06-24 22:28,Mrs. Dana Martin,EMP615,65,921.496.5661x51341,Positive,Sales,12,8,Active,$235,9,Vegetarian,Deluxe,Badminton,Massage,Frugal
1773,Ashley Gould,nathan53@example.com,"charming just returned paris, loved staying hotel le tourville, adorable hotel just blocks eifell tower, ask room balcony lots sidewalk cafes area great food directions, staff extremely friendly helpful, bathrooms large modern comfortable mattresses tasteful decor peaceful location, make hotel home base visit paris,  ",2024-10-26 04:11,Benjamin Powell,EMP962,68,(809)770-9194,Neutral,Sales,17,6,Inactive,$232,5,Vegetarian,Suite,Table tennis,Gym,Luxury
1774,Maria Smith,qbrown@example.org,"excellent stay affina 50 really nice hotel, website pictures accurate, room right size, bathroom little small really cute, bed cozy comfortable wish pillows home, thing problem room close club room concierge desk, lot noise activity hallway, stay affina 50, fact looking forward visiting new york soon, really great time city,  ",2024-01-06 08:23,Ronald Morgan,EMP898,60,001-834-208-0715,Positive,Finance,24,5,Inactive,$214,8,Non-Vegetarian,Suite,Table tennis,Massage,Luxury
1775,Desiree Berry,wcampbell@example.org,"pleasant staff hotel showing age large hotels nusa dua, large foyer impressive hotel, rooms large fittings starting age, example air conditioning not really cold problem shared people travelled, taps sink shower difficult turn off.the pool nice large make use beach not pleasant not able swim, food especially breakfast buffet average best.one thing note majority hotel catered large tourist groups especially east asia noticable breakfast buffet.overall pleasant experience trying hotel bali like seminayk time,  ",2024-09-11 05:29,Erik Riley,EMP337,66,001-999-950-3744x389,Neutral,Finance,6,8,Inactive,$74,6,Non-Vegetarian,Deluxe,Badminton,Massage,Frugal
1776,Jamie Beck,josephparker@example.org,"pretty good hotel clean staff friendly, tips added automatically n't worry tipping, location maybe n't absolute best tokyo pretty good, short 5 minute walk akasaka metro stop ride ginza roppongi, quick, area clean safe night parts town sujuku, hotel modern similarly priced hotels tokyo i.e, new otani, great choice business travelers not great romantic couples looking little quaint secluded,  ",2024-11-04 02:06,Jennifer French,EMP452,50,+1-652-315-0115x0902,Neutral,HR,12,5,Active,$467,2,Non-Vegetarian,Suite,Golf,Massage,Frugal
1777,Melissa Webb,robert75@example.com,"second time hotel didnt disapoint staying hotel 2007 revisited 2008 did not disappoint, centrally located la ramblas great desk kiki looked 2007. whilst time not upgraded lovely room overlooking la rambla highlights spain won world cup great open balcony outside look celebrations street slightly noisy special night, freshly squeezed orange juice breakfast remembered free internet lovely reasonably priced breakfast, stay, seeking nice restaurant dinner highly recommned attic couple doors hotel good food great service try window table overlooks la rambla sit terrace,  ",2024-06-20 22:34,Shannon Pitts,EMP617,69,(355)337-7755x5864,Neutral,Sales,1,5,Active,$485,9,Vegan,Suite,Golf,Sauna,Frugal
1778,Mikayla Lewis,loliver@example.net,"great hotel, small hyatt right best districts paris, pricey.however small say smallest hyatt world gives personal touch service nice makesone feel home not common feeling paris rooms comfortable equipped air conditioning did n't work, bit shortage dining outlets good, probably best eat out.well worth visit looking smaller friendly hotel,  ",2024-07-17 18:55,Elizabeth Evans,EMP826,42,971-533-7915,Positive,Finance,1,8,Active,$120,4,Non-Vegetarian,Standard,Golf,Sauna,Frugal
1779,Christina Jones,lisakrause@example.org,"great time, summarize great hotel great location, wife stayed 3 nights.i try not repeat written just important points:1 suggestion travel bus hotel excellent, eurobus travels airport just outside plaza catalunya 8-12 minutes 3.5eur pp, hotel situated 3-4 minutes walk there.2 breakfast excellent, try possible include hotel price does not come cheap 15eur pp, online sites not include breakfast offers, booked travel agent recieved better price online ones expedia hotels.com, breakfast.3 people complained small rooms, said rooms fine, booked room specifically asked room numbers literally, poeple wrote good things rooms size, hotel course not ensure specific rooms did n't case got wanted, room not surprisingly large confertable little balkony room 512, looks reviews add series, worth trying 2 little bad points:1 suffering noise large extent room satyed guess rooms little little background buzz street main road heavy traffic wife complained no english speaking tv channels tv cnn, bare mind important,  ",2024-10-01 03:49,Natalie Hodges,EMP812,37,969.794.0307x2041,Negative,Support,5,7,Inactive,$149,2,Vegetarian,Suite,Golf,Sauna,Frugal
1780,Taylor Weaver,robertharris@example.net,"safe friendly stayed july family, excellent location sight seeing, rooms safe clean comfy english breakfast provided terrific, peter rita mark friendly helpful n't hesitate stay,  ",2024-05-01 20:31,Angela Harrington,EMP638,30,+1-815-381-0242x33845,Neutral,Finance,20,9,Inactive,$242,9,Non-Vegetarian,Suite,Golf,Sauna,Frugal
1781,Valerie Sosa,cody11@example.org,"not business, nice hotel n't stay unless n't care not receive faxes time telephones transfered wrong room unlucky family guest better stay plaza athenee meurice, splendid service overthere,  ",2024-09-18 06:43,Christine Charles,EMP347,29,4775484018,Negative,Sales,15,9,Active,$225,4,Vegan,Standard,Table tennis,Gym,Luxury
1782,Mr. Thomas Pierce,karenhughes@example.com,"great hotel stayed apex hotel night wished longer room 7th floor great view taking landmarks tower london tower bridge swiss tower, room fantastic immaculate modern chic, consisted bathroom living room area bedroom veranda, rooms spacious unlike hotel rooms stocked needed enjoy stay, staff great helpful especially liked complimentary cocktails arrival delicious, recommended hotel friends definately apex mind future trips,  ",2024-03-28 05:26,Dean Rhodes,EMP251,42,(975)423-5289,Positive,HR,27,1,Inactive,$112,6,Vegetarian,Deluxe,Golf,Gym,Frugal
1783,Thomas Howe,aoconnell@example.com,"awesome honeymoon husband just returned honeymoon november 13-20th, say read reviews left decided people no matter service satisfied, rooms clean nice roomy, food world, ate 6 different resturants stay amazing, buffet plenty choose picky eater, tipped maid day did not want entire week, service excellant people extremely polite, yes walk beach pool theme week mosey just enjoyed second, heartbeat,  ",2024-01-18 04:23,Jessica Gibson,EMP360,63,+1-317-951-2495x0075,Positive,Sales,29,9,Inactive,$343,9,Vegetarian,Deluxe,Badminton,Gym,Luxury
1784,Cassandra Diaz,lvaughan@example.com,"fantastic, sister getting married wanted nice hen night abroad chose girona stumbled h10 marina glad.13 girls hen night barcelona hotel magnificent.the rooms just described beds changed day new towels nice.the breakfast amazing imagination woke day sunshades result previous night attend breakfast.i impressed hotel tend lots hotels promoting things not appear arrival hotel.my bars restaurants amazing affordable sister fantastic time defintely going,  ",2024-12-12 20:05,Scott Copeland,EMP056,51,947-412-9074,Negative,Finance,14,5,Inactive,$172,7,Non-Vegetarian,Standard,Table tennis,Massage,Frugal
1785,Emily Arnold,hansenbrandon@example.com,"convenient cheap acceptable not stunning 4* hotel europe barcelo hotel fine, does little bit neglected carpets changes needed beds not comfortable, hand ideal location barcelona not hesitate come, paid 85usd plus taxes hotwire.com,  ",2024-01-19 07:36,Patricia Ferguson,EMP429,26,663.256.4988x837,Negative,Finance,28,7,Active,$444,9,Vegetarian,Deluxe,Badminton,Sauna,Luxury
1786,Steven Shaffer,djohnson@example.org,"excellent place stayed grand hotel francais week 28th oct 4th nov 2006. say truly brilliant place stay, expected staff really way help, especially guy sorry ca n't remember counter day, no question paris parisiens general tourist questions difficult, helped important stay buy cigarettes, dont know unlike uk buy cigarettes pretty french funny licensing laws tobbaco allowed sold tabacs quite close hotel n't looking 10pm sunday night, unlike reviews read grand hotel francais knew metro city world 2 minute walk rue boulets 5 mins nation rer disneyland, hotel good distance centre paris sites metro 20mins places, walked pere la chaise 10 mins.the rooms small kept lets face paris time spend room anyway.i cant really think write questions feel free ask glad answer, unlike tell search,  ",2024-10-28 09:04,Warren Martin,EMP724,40,(350)375-7818x10449,Negative,Finance,28,4,Inactive,$273,7,Non-Vegetarian,Suite,Table tennis,Sauna,Luxury
1787,Jasmine Johnson,lsimmons@example.com,"right price 2 rooms, harbour view room contrary reviews did not great view darling harbour, expensive rate 2nd floor spectacular look small section harbour major arterial road leading sydney city.the room floor faced office precinct, actually intersting view previous room.the reason changing rooms broadband offered levels 4+ feature required, broadband cheaper equivalent hotels area au 25/day.v.close lot decent restaurants, good business travellers,  ",2024-05-25 02:20,Vanessa Keith,EMP986,45,001-227-640-6463x018,Negative,Finance,10,7,Active,$110,2,Non-Vegetarian,Suite,Table tennis,Sauna,Frugal
1788,Arthur Baker,susan57@example.com,"want husband friends daughter fabulous 2 weeks princess, bit stomach problem people things holiday overeat indulge alcohol, restaurants varied menus plenty eat, queue not problem morning people, friend sorted restaurants sorted sunbeds.the staff gardener upwards friendly nothing trouble, room kept immaculate, reviews moaned waiting train bone idle walk did good took 15 minutes 20 minutes tops walk beach lobby, beach ocean magnificent said hard beat, walked 2 3 miles morning got hot, not ramble best holidays come, just don`t expect hilton that`s not it`s,  ",2024-12-09 19:45,Carrie Davis,EMP344,66,+1-994-674-8309x72773,Neutral,Support,12,10,Inactive,$242,9,Vegetarian,Deluxe,Table tennis,Massage,Luxury
1789,Alice Burke,bjohnson@example.com,"booked inglaterra hotel surprise patner keith birthday came expectations, location fabulous main road completely unaware traffic noise stay, booked classic room adequate appointed lots hanging space priced competitively, bathroom spotlessly clean good quality products use powerful shower.the staff extremely helpful morning receptionist sorry did not catch recommended fabulous tapas restaurant nearby called ciudad condal absolute visit food good returned following day roof garden wonderful bonus arrival sat warm sunshine drank ice cold cava, better leaving cold wet england thankyou staff inglaterra thoroughly enjoyable stay returning soon hope,  ",2024-10-09 12:28,Anna Oneal,EMP273,31,974-601-9833x982,Negative,Sales,26,2,Inactive,$237,7,Vegan,Deluxe,Swimming,Sauna,Frugal
1790,Dr. Tiffany Sherman MD,egordon@example.org,"week relaxation 13, just returned great week bahia principe, resort huge beautiful, stayed premier section pool restaurant lobby bar, just short walk main lobby little town.the beach absolutley amazing tons palapas shade problem finding, sunshine day 10 minutes rain week restaurants good..we ate japanese rushed french mexican so-so garden grill, buffets typical try blue hawaii drink..very good 2 downers worth mentioning red wine bad, wanted good red wine buy reasonable prices day brutal..our flight n't 10:00 pm late check 3:00 pm 10.00 hour sit hot lobbyfor 4 hours, recommend late check communal showers desired heard, thing lots kids resort, great week,  ",2024-04-21 07:28,Wanda Mclaughlin,EMP918,54,714.443.1587x90751,Positive,Sales,24,9,Inactive,$59,7,Vegan,Standard,Swimming,Sauna,Luxury
1791,Jill Long,pottsbonnie@example.org,"gem, pleasantly surprised accomondations helpful attentive staff need, breakfast good cookies, room lovely clean comfortable, room fronting bush street bit noisy did not away enjoyment nice boutique hotel, definitely stay time,  ",2024-03-15 08:21,Alicia Livingston,EMP639,43,(814)802-4731x678,Neutral,Finance,19,1,Active,$143,4,Non-Vegetarian,Suite,Golf,Sauna,Luxury
1792,Amanda Murphy,kmurphy@example.org,"terrible service ignorant staff reading great reviews hotel decided book 3nights march 15-18.the hotel__s location nasty surprise really way residential area far downtown barcelona hotel__s worst attribute terrible service, reception__s young staff spoke hardly english usually clueless goings hotel hardly knew anyhting regarding city__s attractions bad attitude.to 3 days stayed hotel leave early morning return afternoon room unmade, staff tried make excuses inefficiency.to cut long story short hotel not worth price,  ",2024-11-16 11:45,William Gutierrez,EMP801,64,7947845982,Negative,Support,4,3,Active,$61,3,Vegan,Suite,Table tennis,Massage,Frugal
1793,Ashley Cohen,anna85@example.com,"clean convenient chose pool having barcelona having stayed royal hotel ramblas wanted good standard hotel reasonably priced convenient, gone royal time wanted pool reasons 4 day break away rain relax, hotel convenient clean functional like lot city hotels not lot people bar area night atmosphere good streets, room nice dark proximity building no view practically strain weather like outside room dark slept mornings, didnt eat hotel large selection street cafes breakfast expensive hotel, rooftop pool small welcoming thing 10 sunbeds available wasnt busy good supply seats/tables, bathrooms okay toiletries plentiful good shower bath no natural light, beds huge comfortable bedlinen pristine plasma tv good music, noise levels bedrooms annoying child stopped crying early morning parents continually speak shouting, swimming pool/convenience important yes swimming pool not important royal ramblas bright rooms/open airy breakfast dining room good value breakfast 10euro opposed 17 euro nice bar 1898 hotel called bar lobo, excellent restaurants attic just opposite 1898 hotel la ramlas rooftop terrace want eat outside sinatra restaurant unfortunately not remember street large courtyard restaurants left hand ramblas alley worth visit collect fliers staff advertising free glass cava, taglietta perfect sirloin veal cooked medium perfection passion fruit dessert really lovely, took tourist buses days 20 euro 1 day 26 euro days used beach days, nou camp barcelonas home ground worth visit went match whilst not football stadium really impressive took metro convenient cheap, late home match did different late night streets lot undesirables nicer early come reasonable time, saying barcelona definately rates highly place visit history shopping beach sunshine food wine,  ",2024-03-04 02:01,Angela Ruiz,EMP250,65,936-865-1122x27864,Negative,HR,23,2,Active,$443,7,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
1794,Kendra Gregory DVM,randall19@example.com,"great value location wonderfully convenient location excellent value, son stayed nights hotel brighton march 2003. discovered shared breakfast friend staying hotel nearby, ryan second story room facing street view second none paris, far left louvre tulleries gardens right eiffel tower, tower really lovely night, note stay higher floor view later year trees foliage, enjoyed morning beautiful breakfast area not asked better service, helpful staff member scheduled fixed-price private shuttle airport save money taking taxi, hope return, enjoy,  ",2024-06-21 01:47,Luis Stewart,EMP172,52,001-690-943-7296x17235,Neutral,HR,25,0,Inactive,$400,10,Vegetarian,Deluxe,Badminton,Sauna,Luxury
1795,Mark Kramer,martinlisa@example.org,"great location hilton beijing 5-star hotel central location tourists business, rooms clean smaller intercontinental, service excellent, upgrading executive suites worth complimentary bar happy hour breakfast,  ",2024-12-10 16:43,Megan Wilson,EMP625,65,987.680.1493x3534,Neutral,Finance,19,10,Inactive,$481,4,Vegetarian,Suite,Badminton,Sauna,Frugal
1796,Jonathan Maxwell,johnsonaaron@example.org,"wonderful place unwind hike snorkel wife went copamarina april 2005 wonderful time, grounds lush food terrific rooms staff nice, tips want snorkel reef reserve soon, spots boat filled quickly week there. copamarina beach nice relaxing sun taking dips pools saunas, wish swim ocean shallow grassy, not worry, lovely cano gorda public beach right door stroll maybe 200 yards, sandy lifeguards. sandwich shop cano gorda great quick lunch, sandwiches just 2 3, pina coladas cheap. gilligan island coral reef just island western tip, walk dock right people turning left duck fence pick picnic-table shelter close western edge get. gilligan island gets nickname lagoon actually tidal stream moving mangroves, going river current bit work reward chance snorkel float lagoon, relaxing, lots fun. rooms nice fridge safe balconies terraces, tvs english-language cable cnn espn hbo, new york city local channels. ocean clean resort surrounded guanica dry forest, bizarre landscape beautiful austere sort way, lots cacti, hiker line print maps forest trails, terraserver look aerial photos terrain, hiking hills great time, pack lots water add extra bottle. good reasonably priced meal restaurant main gilligan island ferry dock not resort dock, sell emplanadas meat pies make nice lunch island. need rental car copamarina miles, invest good road map study, traveled southwestern quarter puerto rico discovery discovery, beautiful beaches, lighthouses, views took breath away. bioluminescent bay expect disappointed, nothing like firefly-glitter final scene lord flies happened old movie, moonless night boat trip stars worth price, n't know seen stars sky. copamarina narrow torturous coastal road, paved lines painted edges, drive end road lovely littered public beach, hiker trail follows coast road end, rewarded dramatic views, not places walk miles ocean no, lots water, forewarned male prostitutes beach trolling clients. craving burger king guanica intersection highway leading copamarina, come think macdonalds nearby too. copamarina place unwind relax read books play tennis, no nightlife, 10 o'clock resort asleep, know getting love,  ",2024-02-01 07:48,Peter Green,EMP876,64,+1-877-735-9374x691,Negative,Support,9,5,Active,$66,9,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
1797,Angela Wood MD,deniselee@example.net,"overpriced great location stayed rivoli 2 nights august 2004. location great right ramblas, room no noise no views, room small old fashioned need refurbishment, did n't look like pictures net/in brochures, stains bathroom toilet did n't flush hand breakfast good good choice meats/cheeses/breads/fruits/hot dishes so-called gym jacuzzi, 2 pieces equipment estimating 20 years old, reserved jacuzzi left 10 mins looked dirty unpleasant smell.the rivoli ok short stay central location n't stay,  ",2024-03-12 21:49,Elizabeth Powers,EMP598,43,(226)394-1352,Positive,HR,13,6,Inactive,$157,8,Vegetarian,Suite,Badminton,Sauna,Luxury
1798,Michael Brooks,matthew91@example.org,"magnificent resort ages just returned week dreams resort originally sunscape beach stayed year, fantastic time year better time year, impressed service provided staff members especially hard-working cheerful entertainment/sports staff, active senior traveling overwhelmed friendliness staff members guests, traveling young children teens resort super staff provides types fun/learning activities day evening, children teens kept occupied away adult guests, activities provided adults make possible leave resort easy make arrangements tours, horse-back riding added plus, restaurants provide variety menus no need make reservations restaurants, no lines meals, did n't chance try spa raved, ca n't wait return year,  ",2024-02-09 00:58,Brenda Baird,EMP795,70,535-679-8686x93244,Neutral,Engineering,14,1,Active,$192,10,Non-Vegetarian,Suite,Badminton,Gym,Frugal
1799,Lisa Murray,lauren20@example.net,"nice stay nigths 28 dec 01 january, rooms spacious nice wview city, breakfast merveillous, service everybody says guten morgen, comme hotel,  ",2024-09-26 07:53,Alicia Thompson,EMP500,52,+1-505-382-7321x31765,Negative,Engineering,26,10,Inactive,$486,4,Vegan,Suite,Swimming,Sauna,Frugal
1800,Jennifer Serrano,gomezkimberly@example.com,"great service ok overall stayed night hilton.it great use free shuttle shinjuku station outside keio dept, store not worry luggage point bellman checked day.from moment step inside people helping check-in line luggage sent room, nearly speaks fantastic english, room nice bed decent sized comfortable, nice amenities bathroom, little 200 night, belong hilton honors not upgraded nor did expect hopes, real letdown breakfast, breakfast geared eat buffett western japanese style, wanted la carte paid nose cold toast regular fried eggs blah french toast, coffee 9 person annoying given coffee awful, think better simply ordered room service room breakfast, la carte choices prices reasonable room service prices include tax tip ok. hotel district shinjuku, shinjuku large area not far alot nightlife restaurants definitely high rise hotel district interesting, really close tokyo municipal govt, building recommend seeking high level views tokyo.overall nice place stay night trip, not sure specifically seek hilton tokyo appreciated level service convenience staying took limo bus narita directly hotel,  ",2024-08-07 21:20,Michael Smith,EMP822,27,234.644.6486,Neutral,HR,18,9,Active,$275,9,Non-Vegetarian,Standard,Swimming,Massage,Frugal
